Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,WeekOfYear
375,3,2013-01-02,7629,752,1,0,0,1,0,2,15710.0,2.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
372,3,2013-01-02,8014,769,1,0,0,1,3,2,4880.0,8.0,2010.0,1,18.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
368,3,2013-01-02,7296,586,1,0,0,1,3,2,1450.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2013,1,2,1
362,3,2013-01-02,8662,1134,1,0,0,1,2,2,340.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
358,3,2013-01-02,8887,1138,1,0,0,1,0,0,2890.0,10.0,2003.0,0,0.0,0.0,None,2013,1,2,1
354,3,2013-01-02,6317,598,1,0,0,1,3,2,1500.0,10.0,2005.0,0,0.0,0.0,None,2013,1,2,1
344,3,2013-01-02,6864,1063,1,0,0,1,0,2,300.0,4.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
384,3,2013-01-02,7266,966,1,0,0,1,0,2,130.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
444,3,2013-01-02,14116,1773,1,0,0,1,2,0,1700.0,11.0,2009.0,0,0.0,0.0,None,2013,1,2,1
448,3,2013-01-02,7815,745,1,0,0,1,0,2,3970.0,9.0,2009.0,0,0.0,0.0,None,2013,1,2,1
342,3,2013-01-02,11044,888,1,0,0,1,3,2,15770.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
533,3,2013-01-02,8160,802,1,0,0,1,0,2,5950.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
532,3,2013-01-02,10278,1202,1,0,0,1,0,2,1070.0,8.0,2010.0,0,0.0,0.0,None,2013,1,2,1
528,3,2013-01-02,8212,877,1,0,0,1,0,2,20620.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
527,3,2013-01-02,10246,1053,1,0,0,1,3,2,5830.0,4.0,2008.0,0,0.0,0.0,None,2013,1,2,1
526,3,2013-01-02,10084,1439,1,0,0,1,0,0,120.0,0.0,0.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",2013,1,2,1
525,3,2013-01-02,10422,903,1,0,0,1,3,2,1870.0,9.0,2013.0,0,0.0,0.0,None,2013,1,2,1
524,3,2013-01-02,7909,926,1,0,0,1,0,2,40860.0,9.0,2013.0,0,0.0,0.0,None,2013,1,2,1
523,3,2013-01-02,20493,2424,1,0,0,1,2,2,50.0,11.0,2013.0,0,0.0,0.0,None,2013,1,2,1
515,3,2013-01-02,6954,616,1,0,0,1,3,2,11260.0,0.0,0.0,1,9.0,2011.0,"Feb,May,Aug,Nov",2013,1,2,1
513,3,2013-01-02,20445,2424,1,0,0,1,0,0,400.0,8.0,2013.0,0,0.0,0.0,None,2013,1,2,1
507,3,2013-01-02,6088,535,1,0,0,1,0,2,9070.0,4.0,2011.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
445,3,2013-01-02,8442,1391,1,0,0,1,0,0,240.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
502,3,2013-01-02,9543,1435,1,0,0,1,0,0,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
494,3,2013-01-02,6300,952,1,0,0,1,1,0,1260.0,6.0,2011.0,0,0.0,0.0,None,2013,1,2,1
482,3,2013-01-02,8458,1026,1,0,0,1,2,0,2550.0,10.0,2005.0,0,0.0,0.0,None,2013,1,2,1
479,3,2013-01-02,11234,1440,1,0,0,1,0,0,320.0,12.0,2005.0,1,9.0,2011.0,"Feb,May,Aug,Nov",2013,1,2,1
470,3,2013-01-02,14997,2049,1,0,0,1,0,2,50.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
469,3,2013-01-02,13940,1886,1,0,0,1,2,2,710.0,9.0,2005.0,0,0.0,0.0,None,2013,1,2,1
467,3,2013-01-02,13644,1782,1,0,0,1,0,2,20390.0,4.0,2008.0,0,0.0,0.0,None,2013,1,2,1
464,3,2013-01-02,13067,1673,1,0,0,1,2,0,520.0,3.0,2009.0,0,0.0,0.0,None,2013,1,2,1
459,3,2013-01-02,8354,1123,1,0,0,1,0,0,250.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2013,1,2,1
453,3,2013-01-02,8265,989,1,0,0,1,0,2,75860.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
450,3,2013-01-02,9099,1339,1,0,0,1,2,0,5780.0,11.0,1994.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2013,1,2,1
449,3,2013-01-02,11304,1582,1,0,0,1,0,2,120.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
497,3,2013-01-02,8887,1231,1,0,0,1,0,2,1610.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
336,3,2013-01-02,13817,2049,1,0,0,1,0,0,190.0,7.0,2014.0,0,0.0,0.0,None,2013,1,2,1
333,3,2013-01-02,9138,1256,1,0,0,1,0,2,3720.0,2.0,2010.0,0,0.0,0.0,None,2013,1,2,1
539,3,2013-01-02,12242,1194,1,0,0,1,0,0,770.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
157,3,2013-01-02,9151,1032,1,0,0,1,0,2,2950.0,10.0,2004.0,0,0.0,0.0,None,2013,1,2,1
154,3,2013-01-02,7936,737,1,0,0,1,3,2,16420.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
150,3,2013-01-02,6913,762,1,0,0,1,2,2,31830.0,3.0,2010.0,0,0.0,0.0,None,2013,1,2,1
148,3,2013-01-02,7944,781,1,0,0,1,0,0,2090.0,12.0,2008.0,0,0.0,0.0,None,2013,1,2,1
125,3,2013-01-02,11543,1626,1,0,0,1,0,0,760.0,12.0,2005.0,0,0.0,0.0,None,2013,1,2,1
108,3,2013-01-02,9449,756,1,0,0,1,3,2,2190.0,9.0,2003.0,0,0.0,0.0,None,2013,1,2,1
106,3,2013-01-02,8775,891,1,0,0,1,0,0,1390.0,8.0,2013.0,0,0.0,0.0,None,2013,1,2,1
104,3,2013-01-02,9977,1285,1,0,0,1,0,0,390.0,6.0,2009.0,0,0.0,0.0,None,2013,1,2,1
90,3,2013-01-02,8256,1160,1,0,0,1,0,0,330.0,11.0,2007.0,0,0.0,0.0,None,2013,1,2,1
85,3,2013-01-02,6069,914,1,0,0,1,1,0,1870.0,10.0,2011.0,0,0.0,0.0,None,2013,1,2,1
84,3,2013-01-02,12709,1592,1,0,0,1,0,2,11810.0,8.0,2014.0,0,0.0,0.0,None,2013,1,2,1
167,3,2013-01-02,7645,1043,1,0,0,1,0,0,140.0,4.0,2008.0,0,0.0,0.0,None,2013,1,2,1
82,3,2013-01-02,8047,848,1,0,0,1,0,0,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
69,3,2013-01-02,9903,1297,1,0,0,1,2,2,1130.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
64,3,2013-01-02,7610,653,1,0,0,1,3,2,22560.0,0.0,0.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",2013,1,2,1
57,3,2013-01-02,10719,1084,1,0,0,1,3,2,420.0,6.0,2014.0,0,0.0,0.0,None,2013,1,2,1
42,3,2013-01-02,7959,1046,1,0,0,1,0,2,290.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
35,3,2013-01-02,6519,577,1,0,0,1,3,2,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2013,1,2,1
33,3,2013-01-02,8910,903,1,0,0,1,0,2,1320.0,5.0,2013.0,0,0.0,0.0,None,2013,1,2,1
27,3,2013-01-02,8674,1165,1,0,0,1,0,0,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
25,3,2013-01-02,11944,1698,1,0,0,1,2,0,430.0,4.0,2003.0,0,0.0,0.0,None,2013,1,2,1
24,3,2013-01-02,6907,745,1,0,0,1,0,2,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
7,3,2013-01-02,8244,955,1,0,0,1,0,2,24000.0,4.0,2013.0,0,0.0,0.0,None,2013,1,2,1
4,3,2013-01-02,9941,1429,1,0,0,1,2,2,620.0,9.0,2009.0,0,0.0,0.0,None,2013,1,2,1
71,3,2013-01-02,7041,690,1,0,0,1,0,0,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec",2013,1,2,1
335,3,2013-01-02,11542,2317,1,0,0,1,1,0,90.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2013,1,2,1
171,3,2013-01-02,8369,913,1,0,0,1,0,0,2640.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
189,3,2013-01-02,8287,848,1,0,0,1,3,0,5760.0,7.0,2014.0,0,0.0,0.0,None,2013,1,2,1
320,3,2013-01-02,14984,2072,1,0,0,1,0,2,210.0,9.0,2012.0,0,0.0,0.0,None,2013,1,2,1
316,3,2013-01-02,8025,804,1,0,0,1,3,0,9000.0,8.0,2001.0,0,0.0,0.0,None,2013,1,2,1
310,3,2013-01-02,8088,773,1,0,0,1,0,2,2290.0,0.0,0.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2013,1,2,1
308,3,2013-01-02,8532,1068,1,0,0,1,0,0,1070.0,12.0,2006.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2013,1,2,1
270,3,2013-01-02,8835,1195,1,0,0,1,0,0,1450.0,7.0,2014.0,0,0.0,0.0,None,2013,1,2,1
269,3,2013-01-02,9138,1280,1,0,0,1,0,2,60.0,6.0,2015.0,0,0.0,0.0,None,2013,1,2,1
267,3,2013-01-02,9089,1311,1,0,0,1,2,0,2460.0,1.0,2012.0,0,0.0,0.0,None,2013,1,2,1
262,3,2013-01-02,16964,3113,1,0,0,1,1,0,1180.0,5.0,2013.0,0,0.0,0.0,None,2013,1,2,1
261,3,2013-01-02,8471,760,1,0,0,1,3,2,15340.0,4.0,2015.0,1,39.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
259,3,2013-01-02,5439,1408,1,0,0,1,1,1,210.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
256,3,2013-01-02,9595,1395,1,0,0,1,0,2,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2013,1,2,1
178,3,2013-01-02,8026,849,1,0,0,1,3,0,1710.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
252,3,2013-01-02,9661,804,1,0,0,1,3,2,22330.0,0.0,0.0,1,5.0,2010.0,"Feb,May,Aug,Nov",2013,1,2,1
250,3,2013-01-02,6621,561,1,0,0,1,3,0,3520.0,0.0,0.0,1,18.0,2012.0,"Feb,May,Aug,Nov",2013,1,2,1
248,3,2013-01-02,8946,1242,1,0,0,1,0,2,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",2013,1,2,1
247,3,2013-01-02,6604,625,1,0,0,1,3,2,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2013,1,2,1
245,3,2013-01-02,7272,838,1,0,0,1,0,2,1310.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
234,3,2013-01-02,8715,877,1,0,0,1,3,0,4370.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
233,3,2013-01-02,9597,1083,1,0,0,1,0,0,1890.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
229,3,2013-01-02,6829,636,1,0,0,1,3,2,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
214,3,2013-01-02,7996,670,1,0,0,1,3,0,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
211,3,2013-01-02,12655,1529,1,0,0,1,0,2,350.0,11.0,2006.0,0,0.0,0.0,None,2013,1,2,1
207,3,2013-01-02,11442,1407,1,0,0,1,0,0,6870.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
195,3,2013-01-02,10405,1322,1,0,0,1,0,2,220.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
251,3,2013-01-02,19371,2491,1,0,0,1,0,2,340.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
544,3,2013-01-02,11694,1868,1,0,0,1,0,0,250.0,12.0,2001.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2013,1,2,1
355,3,2013-01-02,10035,1247,1,0,0,1,0,2,9720.0,8.0,2013.0,0,0.0,0.0,None,2013,1,2,1
546,3,2013-01-02,13451,1641,1,0,0,1,0,0,580.0,1.0,2005.0,0,0.0,0.0,None,2013,1,2,1
983,3,2013-01-02,12003,1811,1,0,0,1,0,0,40.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
974,3,2013-01-02,11397,1559,1,0,0,1,0,0,150.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
967,3,2013-01-02,9898,1072,1,0,0,1,0,2,3560.0,9.0,2013.0,1,36.0,2013.0,"Jan,Apr,Jul,Oct",2013,1,2,1
965,3,2013-01-02,8972,990,1,0,0,1,0,2,110.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
964,3,2013-01-02,8837,1398,1,0,0,1,0,0,270.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2013,1,2,1
963,3,2013-01-02,9532,1058,1,0,0,1,0,2,23620.0,11.0,2013.0,0,0.0,0.0,None,2013,1,2,1
938,3,2013-01-02,8551,968,1,0,0,1,0,0,2820.0,9.0,2009.0,0,0.0,0.0,None,2013,1,2,1
921,3,2013-01-02,12383,1432,1,0,0,1,0,0,840.0,9.0,2006.0,0,0.0,0.0,None,2013,1,2,1
914,3,2013-01-02,9435,1219,1,0,0,1,2,2,2640.0,4.0,2011.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2013,1,2,1
913,3,2013-01-02,7994,1148,1,0,0,1,0,0,280.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
911,3,2013-01-02,9469,939,1,0,0,1,0,2,16490.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
985,3,2013-01-02,5851,709,1,0,0,1,2,2,490.0,5.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2013,1,2,1
909,3,2013-01-02,9220,939,1,0,0,1,0,2,1680.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2013,1,2,1
905,3,2013-01-02,10433,1624,1,0,0,1,0,0,90.0,6.0,2014.0,0,0.0,0.0,None,2013,1,2,1
903,3,2013-01-02,12015,839,1,0,0,1,3,2,7290.0,9.0,2014.0,0,0.0,0.0,None,2013,1,2,1
895,3,2013-01-02,8047,809,1,0,0,1,0,2,4150.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
894,3,2013-01-02,7927,1126,1,0,0,1,0,0,190.0,11.0,2012.0,0,0.0,0.0,None,2013,1,2,1
878,3,2013-01-02,7953,775,1,0,0,1,3,2,1100.0,12.0,2014.0,0,0.0,0.0,None,2013,1,2,1
876,3,2013-01-02,8596,1003,1,0,0,1,0,0,21790.0,4.0,2005.0,1,18.0,2015.0,"Feb,May,Aug,Nov",2013,1,2,1
872,3,2013-01-02,6810,714,1,0,0,1,0,2,3860.0,9.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec",2013,1,2,1
868,3,2013-01-02,9741,670,1,0,0,1,3,2,1360.0,8.0,2005.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
863,3,2013-01-02,8279,1051,1,0,0,1,0,2,21370.0,11.0,2010.0,0,0.0,0.0,None,2013,1,2,1
862,3,2013-01-02,9073,1264,1,0,0,1,0,2,2840.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
853,3,2013-01-02,9796,1161,1,0,0,1,0,0,14040.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
906,3,2013-01-02,10706,1318,1,0,0,1,0,0,90.0,7.0,2010.0,0,0.0,0.0,None,2013,1,2,1
995,3,2013-01-02,7519,764,1,0,0,1,3,0,6560.0,12.0,2013.0,0,0.0,0.0,None,2013,1,2,1
999,3,2013-01-02,5867,502,1,0,0,1,3,2,15140.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
1010,3,2013-01-02,6940,721,1,0,0,1,3,2,4610.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",2013,1,2,1
1114,3,2013-01-02,20642,3401,1,0,0,1,0,2,870.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
545,3,2013-01-02,9699,1005,1,0,0,1,0,2,5020.0,5.0,2006.0,1,18.0,2014.0,"Feb,May,Aug,Nov",2013,1,2,1
1101,3,2013-01-02,8587,928,1,0,0,1,3,2,4060.0,9.0,2012.0,0,0.0,0.0,None,2013,1,2,1
1099,3,2013-01-02,11883,1477,1,0,0,1,0,2,200.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",2013,1,2,1
1097,3,2013-01-02,6688,1819,1,0,0,1,1,1,720.0,3.0,2002.0,0,0.0,0.0,None,2013,1,2,1
1092,3,2013-01-02,11054,1158,1,0,0,1,0,0,300.0,7.0,2000.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
1089,3,2013-01-02,9048,920,1,0,0,1,3,0,5220.0,5.0,2009.0,0,0.0,0.0,None,2013,1,2,1
1079,3,2013-01-02,7566,669,1,0,0,1,0,0,16680.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
1075,3,2013-01-02,12956,1181,1,0,0,1,0,2,1410.0,10.0,2013.0,0,0.0,0.0,None,2013,1,2,1
1066,3,2013-01-02,10939,1198,1,0,0,1,0,0,3350.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
1064,3,2013-01-02,8964,1121,1,0,0,1,0,2,420.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
1059,3,2013-01-02,7222,1115,1,0,0,1,2,0,3380.0,4.0,2013.0,0,0.0,0.0,None,2013,1,2,1
1053,3,2013-01-02,7750,962,1,0,0,1,0,0,1710.0,7.0,2015.0,0,0.0,0.0,None,2013,1,2,1
1046,3,2013-01-02,6832,614,1,0,0,1,3,2,29070.0,4.0,2005.0,0,0.0,0.0,None,2013,1,2,1
1045,3,2013-01-02,8282,975,1,0,0,1,0,2,26990.0,12.0,2013.0,0,0.0,0.0,None,2013,1,2,1
1043,3,2013-01-02,9703,1361,1,0,0,1,2,0,420.0,3.0,2006.0,0,0.0,0.0,None,2013,1,2,1
1040,3,2013-01-02,8032,864,1,0,0,1,0,0,4030.0,2.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",2013,1,2,1
1033,3,2013-01-02,13811,1408,1,0,0,1,0,0,7680.0,3.0,2006.0,0,0.0,0.0,None,2013,1,2,1
1032,3,2013-01-02,9977,1198,1,0,0,1,3,2,270.0,2.0,2013.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",2013,1,2,1
1027,3,2013-01-02,9515,1510,1,0,0,1,0,2,190.0,6.0,2008.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
1026,3,2013-01-02,8320,1237,1,0,0,1,2,0,450.0,6.0,2011.0,1,48.0,2012.0,"Mar,Jun,Sept,Dec",2013,1,2,1
1021,3,2013-01-02,8903,1075,1,0,0,1,0,0,1080.0,5.0,2011.0,0,0.0,0.0,None,2013,1,2,1
1020,3,2013-01-02,9680,1240,1,0,0,1,0,0,40.0,8.0,2015.0,0,0.0,0.0,None,2013,1,2,1
1018,3,2013-01-02,11498,1472,1,0,0,1,2,2,140.0,9.0,2012.0,0,0.0,0.0,None,2013,1,2,1
1014,3,2013-01-02,12407,1504,1,0,0,1,0,2,210.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2013,1,2,1
846,3,2013-01-02,6954,796,1,0,0,1,0,2,8860.0,4.0,2004.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
843,3,2013-01-02,9877,1343,1,0,0,1,2,0,60.0,4.0,2006.0,0,0.0,0.0,None,2013,1,2,1
1112,3,2013-01-02,10797,892,1,0,0,1,2,2,1880.0,4.0,2006.0,0,0.0,0.0,None,2013,1,2,1
831,3,2013-01-02,11443,1577,1,0,0,1,0,0,800.0,6.0,2007.0,0,0.0,0.0,None,2013,1,2,1
691,3,2013-01-02,6281,498,1,0,0,1,3,2,3030.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2013,1,2,1
687,3,2013-01-02,6749,646,1,0,0,1,3,2,2770.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
683,3,2013-01-02,9784,977,1,0,0,1,0,0,2850.0,7.0,2014.0,0,0.0,0.0,None,2013,1,2,1
682,3,2013-01-02,10526,1742,1,0,0,1,1,0,150.0,9.0,2006.0,0,0.0,0.0,None,2013,1,2,1
679,3,2013-01-02,9118,1068,1,0,0,1,0,0,4140.0,9.0,2012.0,0,0.0,0.0,None,2013,1,2,1
676,3,2013-01-02,2988,882,1,0,0,1,1,1,1410.0,9.0,2008.0,0,0.0,0.0,None,2013,1,2,1
672,3,2013-01-02,9922,1683,1,0,0,1,2,0,240.0,9.0,2002.0,0,0.0,0.0,None,2013,1,2,1
668,3,2013-01-02,8160,1196,1,0,0,1,2,0,1270.0,9.0,2010.0,0,0.0,0.0,None,2013,1,2,1
667,3,2013-01-02,7571,716,1,0,0,1,3,2,2870.0,9.0,2012.0,0,0.0,0.0,None,2013,1,2,1
662,3,2013-01-02,6656,695,1,0,0,1,3,0,1070.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
645,3,2013-01-02,10950,1461,1,0,0,1,0,0,90.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2013,1,2,1
640,3,2013-01-02,10469,823,1,0,0,1,3,2,8040.0,0.0,0.0,0,0.0,0.0,None,2013,1,2,1
626,3,2013-01-02,8161,830,1,0,0,1,2,2,10740.0,11.0,2013.0,0,0.0,0.0,None,2013,1,2,1
616,3,2013-01-02,8166,882,1,0,0,1,0,2,3040.0,8.0,2011.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec",2013,1,2,1
615,3,2013-01-02,9979,1363,1,0,0,1,3,0,730.0,8.0,2007.0,0,0.0,0.0,None,2013,1,2,1
608,3,2013-01-02,7073,892,1,0,0,1,0,2,18370.0,2.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2013,1,2,1
599,3,2013-01-02,8527,798,1,0,0,1,3,2,580.0,11.0,2014.0,0,0.0,0.0,None,2013,1,2,1
595,3,2013-01-02,15890,2027,1,0,0,1,2,2,1130.0,6.0,2015.0,0,0.0,0.0,None,2013,1,2,1
593,3,2013-01-02,10059,1380,1,0,0,1,0,2,33060.0,3.0,2010.0,0,0.0,0.0,None,2013,1,2,1
