Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
54,d,c,7170.0,8,2014,1,5,2013,"Feb,May,Aug,Nov"
55,a,a,720.0,11,2004,0,,,None
56,d,c,6620.0,3,2012,1,10,2014,"Mar,Jun,Sept,Dec"
57,d,c,420.0,6,2014,0,,,None
58,a,c,7340.0,5,2008,1,27,2012,"Jan,Apr,Jul,Oct"
59,a,c,2840.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
60,d,c,5540.0,10,2009,0,,,None
61,a,c,350.0,12,2007,1,1,2012,"Jan,Apr,Jul,Oct"
62,a,a,2050.0,,,0,,,None
63,c,c,3700.0,6,2010,1,18,2010,"Feb,May,Aug,Nov"
64,d,c,22560.0,,,1,14,2013,"Jan,Apr,Jul,Oct"
65,a,c,13840.0,5,2010,1,1,2012,"Jan,Apr,Jul,Oct"
66,d,a,7660.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
67,a,c,410.0,2,2006,0,,,None
68,a,c,250.0,,,1,35,2012,"Mar,Jun,Sept,Dec"
69,c,c,1130.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
70,c,c,4840.0,,,0,,,None
71,a,a,17500.0,8,2008,1,37,2009,"Mar,Jun,Sept,Dec"
72,a,a,2200.0,12,2009,1,13,2010,"Jan,Apr,Jul,Oct"
73,a,c,1650.0,9,2008,0,,,None
74,a,a,330.0,,,0,,,None
75,d,c,22440.0,12,2013,0,,,None
76,d,c,19960.0,3,2006,0,,,None
77,d,c,1090.0,8,2009,1,10,2014,"Jan,Apr,Jul,Oct"
78,a,a,3510.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
79,a,a,3320.0,,,0,,,None
80,d,a,7910.0,,,0,,,None
81,a,a,2370.0,3,2011,1,40,2014,"Jan,Apr,Jul,Oct"
82,a,a,22390.0,4,2008,1,37,2009,"Jan,Apr,Jul,Oct"
83,a,a,2710.0,,,0,,,None
84,a,c,11810.0,8,2014,0,,,None
85,b,a,1870.0,10,2011,0,,,None
86,a,a,480.0,2,2005,1,31,2013,"Jan,Apr,Jul,Oct"
87,a,a,560.0,12,2010,0,,,None
88,a,a,10690.0,10,2005,0,,,None
89,a,a,2380.0,7,2004,1,40,2014,"Jan,Apr,Jul,Oct"
90,a,a,330.0,11,2007,0,,,None
91,c,a,2410.0,,,1,35,2011,"Jan,Apr,Jul,Oct"
92,c,a,240.0,,,1,45,2009,"Feb,May,Aug,Nov"
93,a,a,16690.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
94,d,c,14620.0,,,0,,,None
95,a,a,1890.0,10,2014,0,,,None
96,a,a,8780.0,2,2005,1,37,2009,"Jan,Apr,Jul,Oct"
97,d,c,8980.0,,,0,,,None
98,d,c,15140.0,12,2006,1,1,2012,"Jan,Apr,Jul,Oct"
99,c,c,2030.0,11,2003,1,22,2012,"Mar,Jun,Sept,Dec"
100,d,a,17930.0,,,0,,,None
101,d,c,2440.0,,,1,22,2012,"Mar,Jun,Sept,Dec"
102,a,a,150.0,12,2007,1,10,2014,"Mar,Jun,Sept,Dec"
103,d,c,5210.0,5,2015,0,,,None
104,a,a,390.0,6,2009,0,,,None
105,a,c,6190.0,,,1,23,2013,"Mar,Jun,Sept,Dec"
106,a,a,1390.0,8,2013,0,,,None
107,a,a,1930.0,9,2009,0,,,None
108,d,c,2190.0,9,2003,0,,,None
109,a,c,3300.0,11,2010,0,,,None
110,a,c,46590.0,4,2013,0,,,None
111,d,c,7890.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
112,a,a,1630.0,9,2009,0,,,None
113,d,c,20930.0,11,1999,0,,,None
114,c,a,4510.0,,,1,48,2011,"Mar,Jun,Sept,Dec"
115,d,c,5740.0,4,2007,1,40,2014,"Jan,Apr,Jul,Oct"
116,a,a,680.0,4,2013,0,,,None
117,a,a,3450.0,9,2011,0,,,None
118,d,c,3580.0,9,2012,0,,,None
119,a,c,2100.0,2,2010,0,,,None
120,d,a,2290.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
121,a,a,3570.0,11,2009,1,36,2013,"Mar,Jun,Sept,Dec"
122,a,c,58260.0,4,2013,0,,,None
123,a,a,16760.0,9,2011,0,,,None
124,a,a,1410.0,4,2003,0,,,None
125,a,a,760.0,12,2005,0,,,None
126,d,a,3370.0,10,2014,1,18,2011,"Feb,May,Aug,Nov"
127,d,a,1350.0,12,2005,1,13,2010,"Jan,Apr,Jul,Oct"
128,d,c,2000.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
129,a,a,2460.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
130,c,a,900.0,,,1,13,2010,"Jan,Apr,Jul,Oct"
131,c,a,920.0,7,2015,0,,,None
132,d,c,1040.0,,,1,27,2012,"Jan,Apr,Jul,Oct"
133,a,a,270.0,8,2013,1,10,2014,"Mar,Jun,Sept,Dec"
134,a,a,1200.0,9,2008,0,,,None
135,d,a,5190.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
136,a,c,2200.0,12,2010,1,22,2012,"Feb,May,Aug,Nov"
137,a,a,1730.0,7,2015,1,40,2014,"Jan,Apr,Jul,Oct"
138,a,c,25360.0,10,2014,0,,,None
139,a,a,1700.0,1,2008,1,14,2011,"Jan,Apr,Jul,Oct"
140,a,c,1090.0,7,2010,1,1,2013,"Jan,Apr,Jul,Oct"
141,c,c,1540.0,,,1,22,2012,"Mar,Jun,Sept,Dec"
142,a,a,1090.0,7,2002,0,,,None
143,d,a,2930.0,12,2002,0,,,None
144,a,c,16570.0,,,0,,,None
145,a,a,280.0,,,1,45,2009,"Feb,May,Aug,Nov"
146,d,c,8050.0,10,1961,1,48,2012,"Jan,Apr,Jul,Oct"
147,d,c,8540.0,,,0,,,None
148,a,a,2090.0,12,2008,0,,,None
149,d,a,2610.0,7,2006,1,14,2011,"Jan,Apr,Jul,Oct"
150,c,c,31830.0,3,2010,0,,,None
151,d,c,4360.0,10,2005,0,,,None
152,a,a,1780.0,,,0,,,None
153,a,a,16240.0,10,2000,1,18,2011,"Feb,May,Aug,Nov"
154,d,c,16420.0,,,0,,,None
155,d,a,3050.0,,,1,35,2010,"Jan,Apr,Jul,Oct"
156,a,a,2020.0,2,2011,1,14,2011,"Mar,Jun,Sept,Dec"
157,a,c,2950.0,10,2004,0,,,None
158,d,c,11840.0,,,1,31,2009,"Feb,May,Aug,Nov"
159,d,a,8530.0,3,2013,0,,,None
160,d,c,17110.0,11,2005,0,,,None
161,a,c,2970.0,3,2005,0,,,None
162,d,c,5340.0,3,2012,1,13,2010,"Jan,Apr,Jul,Oct"
163,a,a,1480.0,4,2009,0,,,None
164,a,a,1160.0,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
165,a,a,3720.0,4,2005,1,13,2010,"Jan,Apr,Jul,Oct"
166,a,c,100.0,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
167,a,a,140.0,4,2008,0,,,None
168,a,a,12540.0,,,0,,,None
169,d,a,980.0,7,2014,1,18,2014,"Feb,May,Aug,Nov"
170,a,a,1070.0,5,2015,1,14,2011,"Jan,Apr,Jul,Oct"
171,a,a,2640.0,,,0,,,None
172,a,a,110.0,,,1,40,2014,"Jan,Apr,Jul,Oct"
173,a,a,350.0,12,2012,0,,,None
174,a,a,13090.0,,,1,22,2012,"Jan,Apr,Jul,Oct"
175,c,a,4130.0,,,0,,,None
176,a,a,3770.0,,,0,,,None
177,a,a,1250.0,2,2004,1,5,2013,"Feb,May,Aug,Nov"
178,d,a,1710.0,,,0,,,None
179,a,c,480.0,,,0,,,None
180,d,a,5800.0,9,2010,0,,,None
181,a,a,12610.0,3,2013,1,14,2011,"Jan,Apr,Jul,Oct"
182,d,c,1390.0,,,1,9,2011,"Mar,Jun,Sept,Dec"
183,a,a,9670.0,,,0,,,None
184,d,c,3560.0,,,0,,,None
185,d,c,1860.0,5,2015,0,,,None
186,a,a,290.0,10,2011,1,40,2014,"Jan,Apr,Jul,Oct"
187,a,c,19360.0,,,0,,,None
188,d,a,850.0,,,1,18,2011,"Feb,May,Aug,Nov"
189,d,a,5760.0,7,2014,0,,,None
190,a,a,1470.0,12,2006,1,40,2014,"Jan,Apr,Jul,Oct"
191,a,a,1100.0,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
192,d,c,2770.0,3,2008,1,40,2014,"Jan,Apr,Jul,Oct"
193,a,a,520.0,,,0,,,None
194,d,c,16970.0,,,1,5,2013,"Feb,May,Aug,Nov"
195,a,c,220.0,,,0,,,None
196,c,a,3850.0,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
197,c,a,4210.0,3,2015,0,,,None
198,a,a,290.0,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
199,d,c,6360.0,12,2010,1,14,2012,"Mar,Jun,Sept,Dec"
200,a,a,1650.0,10,2000,0,,,None
201,d,a,20260.0,,,1,18,2014,"Mar,Jun,Sept,Dec"
202,d,c,5140.0,5,2010,0,,,None
203,c,c,490.0,11,2002,0,,,None
204,a,a,5630.0,12,2002,1,40,2014,"Jan,Apr,Jul,Oct"
205,a,a,110.0,12,2007,0,,,None
206,a,c,380.0,,,1,14,2012,"Jan,Apr,Jul,Oct"
207,a,a,6870.0,,,0,,,None
208,c,a,300.0,4,2006,0,,,None
209,a,c,11680.0,9,2011,1,31,2013,"Jan,Apr,Jul,Oct"
210,d,a,970.0,11,1999,1,5,2013,"Feb,May,Aug,Nov"
211,a,c,350.0,11,2006,0,,,None
212,a,c,15050.0,9,2008,0,,,None
213,d,c,4030.0,3,2014,1,1,2014,"Jan,Apr,Jul,Oct"
214,d,a,8650.0,7,2013,1,10,2014,"Jan,Apr,Jul,Oct"
215,d,a,150.0,,,1,45,2009,"Feb,May,Aug,Nov"
216,c,a,190.0,,,1,45,2009,"Feb,May,Aug,Nov"
217,c,a,3150.0,,,0,,,None
218,a,c,640.0,,,1,9,2011,"Mar,Jun,Sept,Dec"
219,a,a,1640.0,2,2013,0,,,None
220,a,a,1000.0,9,2008,0,,,None
221,d,c,13530.0,9,2013,0,,,None
222,a,a,2170.0,11,2008,0,,,None
223,d,c,2920.0,10,1995,1,27,2011,"Jan,Apr,Jul,Oct"
224,d,c,7930.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
225,d,a,10180.0,5,2015,0,,,None
226,a,a,450.0,,,0,,,None
227,a,a,2370.0,,,0,,,None
228,d,c,10800.0,,,1,18,2011,"Feb,May,Aug,Nov"
229,d,c,17410.0,4,2007,1,14,2011,"Jan,Apr,Jul,Oct"
230,d,c,6680.0,9,2013,0,,,None
231,d,c,3840.0,10,2008,1,39,2010,"Feb,May,Aug,Nov"
232,c,c,13570.0,5,2010,1,10,2013,"Mar,Jun,Sept,Dec"
233,a,a,1890.0,,,0,,,None
234,d,a,4370.0,,,0,,,None
235,a,a,5710.0,3,2012,1,37,2009,"Jan,Apr,Jul,Oct"
236,a,a,1000.0,11,2007,0,,,None
237,a,a,1420.0,11,2007,0,,,None
238,a,a,320.0,,,1,45,2009,"Feb,May,Aug,Nov"
239,d,c,610.0,,,0,,,None
240,a,a,1110.0,5,2009,0,,,None
241,d,c,780.0,,,0,,,None
242,d,a,6880.0,9,2001,1,14,2011,"Jan,Apr,Jul,Oct"
243,a,a,310.0,,,1,5,2013,"Feb,May,Aug,Nov"
244,d,a,710.0,3,2012,1,1,2012,"Jan,Apr,Jul,Oct"
245,a,c,1310.0,,,0,,,None
246,c,a,4660.0,4,2013,0,,,None
247,d,c,70.0,11,2010,1,5,2013,"Feb,May,Aug,Nov"
248,a,c,340.0,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
249,d,c,18010.0,9,2014,0,,,None
250,d,a,3520.0,,,1,18,2012,"Feb,May,Aug,Nov"
251,a,c,340.0,,,0,,,None
252,d,c,22330.0,,,1,5,2010,"Feb,May,Aug,Nov"
253,a,c,250.0,,,1,5,2013,"Feb,May,Aug,Nov"
254,d,a,330.0,3,2008,1,1,2012,"Mar,Jun,Sept,Dec"
255,c,c,4630.0,3,2011,1,35,2011,"Feb,May,Aug,Nov"
256,a,c,80.0,9,2005,1,10,2014,"Mar,Jun,Sept,Dec"
257,a,a,420.0,12,2012,0,,,None
258,a,a,27190.0,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
259,b,b,210.0,,,0,,,None
260,a,a,540.0,10,2011,0,,,None
261,d,c,15340.0,4,2015,1,39,2009,"Jan,Apr,Jul,Oct"
262,b,a,1180.0,5,2013,0,,,None
263,a,c,1140.0,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
264,a,a,180.0,3,2014,0,,,None
265,a,a,4580.0,,,1,14,2015,"Jan,Apr,Jul,Oct"
266,a,c,360.0,3,2014,1,9,2011,"Mar,Jun,Sept,Dec"
267,c,a,2460.0,1,2012,0,,,None
268,a,a,4520.0,2,2014,0,,,None
269,a,c,60.0,6,2015,0,,,None
270,a,a,1450.0,7,2014,0,,,None
271,a,a,420.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
272,a,a,16180.0,7,2003,1,14,2011,"Jan,Apr,Jul,Oct"
273,a,c,8480.0,,,0,,,None
274,b,b,3640.0,,,1,10,2013,"Jan,Apr,Jul,Oct"
275,d,a,300.0,5,2014,1,40,2014,"Jan,Apr,Jul,Oct"
276,a,a,2960.0,10,2014,1,36,2013,"Mar,Jun,Sept,Dec"
277,d,c,7840.0,,,1,31,2009,"Feb,May,Aug,Nov"
278,a,c,9260.0,2,2010,0,,,None
279,d,c,2320.0,,,1,40,2012,"Jan,Apr,Jul,Oct"
280,d,c,18640.0,9,2013,1,10,2014,"Mar,Jun,Sept,Dec"
281,d,c,6970.0,9,2011,0,,,None
282,a,a,1220.0,12,2010,0,,,None
283,a,a,2260.0,,,1,40,2014,"Jan,Apr,Jul,Oct"
284,d,a,1290.0,,,1,40,2014,"Jan,Apr,Jul,Oct"
285,a,a,2410.0,,,0,,,None
286,a,a,1460.0,4,2015,0,,,None
287,c,a,2740.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
288,d,a,800.0,,,1,14,2011,"Mar,Jun,Sept,Dec"
289,d,a,6540.0,12,2007,0,,,None
290,a,a,4150.0,5,2001,0,,,None
291,d,a,2325.0,,,0,,,None
292,a,a,1100.0,6,2009,0,,,None
293,c,c,140.0,11,2007,0,,,None
294,a,a,3150.0,5,2005,0,,,None
295,a,a,210.0,11,2000,1,36,2013,"Mar,Jun,Sept,Dec"
296,a,a,9580.0,5,2007,1,45,2014,"Feb,May,Aug,Nov"
297,a,a,2300.0,9,2010,0,,,None
298,d,a,19840.0,7,2009,0,,,None
299,d,c,38630.0,9,2012,0,,,None
300,a,c,120.0,4,2009,1,1,2012,"Jan,Apr,Jul,Oct"
301,a,c,4510.0,3,2015,0,,,None
302,d,c,2190.0,12,2007,1,9,2011,"Mar,Jun,Sept,Dec"
303,a,a,15430.0,11,2012,1,18,2011,"Feb,May,Aug,Nov"
304,a,a,1950.0,7,2015,0,,,None
305,c,c,2470.0,2,2005,1,31,2013,"Mar,Jun,Sept,Dec"
306,a,a,5100.0,4,2007,1,40,2014,"Jan,Apr,Jul,Oct"
307,a,a,18660.0,9,2002,0,,,None
308,a,a,1070.0,12,2006,1,13,2010,"Jan,Apr,Jul,Oct"
309,d,a,8740.0,,,1,37,2009,"Feb,May,Aug,Nov"
310,a,c,2290.0,,,1,10,2014,"Mar,Jun,Sept,Dec"
311,a,c,680.0,7,2005,0,,,None
312,d,a,11300.0,3,2012,0,,,None
313,d,c,14160.0,,,0,,,None
314,a,a,3560.0,10,2001,1,31,2013,"Feb,May,Aug,Nov"
315,a,c,38710.0,4,2013,0,,,None
316,d,a,9000.0,8,2001,0,,,None
317,d,a,3140.0,7,2013,1,14,2011,"Jan,Apr,Jul,Oct"
318,d,c,32330.0,3,2014,0,,,None
319,a,c,570.0,9,2012,1,27,2012,"Mar,Jun,Sept,Dec"
320,a,c,210.0,9,2012,0,,,None
321,c,c,8140.0,11,2013,1,10,2014,"Mar,Jun,Sept,Dec"
322,a,a,17500.0,4,2001,1,37,2009,"Jan,Apr,Jul,Oct"
323,d,c,8400.0,4,2012,1,5,2013,"Feb,May,Aug,Nov"
324,a,a,13140.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
325,a,c,350.0,3,2011,1,22,2011,"Feb,May,Aug,Nov"
326,d,a,10070.0,5,2015,1,31,2013,"Feb,May,Aug,Nov"
327,c,c,1390.0,12,2004,0,,,None
328,a,a,3130.0,7,2002,0,,,None
329,a,a,1310.0,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
330,a,c,370.0,,,1,22,2012,"Mar,Jun,Sept,Dec"
331,a,c,670.0,,,1,14,2015,"Jan,Apr,Jul,Oct"
332,a,a,1840.0,3,2006,0,,,None
333,a,c,3720.0,2,2010,0,,,None
334,d,c,4040.0,8,2008,1,18,2013,"Mar,Jun,Sept,Dec"
335,b,a,90.0,,,1,31,2013,"Jan,Apr,Jul,Oct"
336,a,a,190.0,7,2014,0,,,None
337,d,c,10600.0,7,2005,1,45,2014,"Feb,May,Aug,Nov"
338,a,c,1590.0,,,1,37,2009,"Jan,Apr,Jul,Oct"
339,a,c,2280.0,,,1,10,2013,"Mar,Jun,Sept,Dec"
340,a,c,8080.0,,,0,,,None
341,a,a,190.0,9,2011,0,,,None
342,d,c,15770.0,,,1,40,2014,"Jan,Apr,Jul,Oct"
343,d,a,18650.0,4,2004,1,14,2014,"Jan,Apr,Jul,Oct"
344,a,c,300.0,4,2011,1,14,2011,"Jan,Apr,Jul,Oct"
345,a,a,120.0,,,1,22,2012,"Jan,Apr,Jul,Oct"
346,a,c,8090.0,,,0,,,None
347,d,c,9360.0,7,2013,1,22,2012,"Mar,Jun,Sept,Dec"
348,a,a,16490.0,,,1,22,2012,"Jan,Apr,Jul,Oct"
349,c,c,1490.0,4,2009,0,,,None
350,d,a,8880.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
351,a,a,5290.0,11,2012,1,5,2013,"Feb,May,Aug,Nov"
352,d,c,6360.0,,,1,40,2012,"Mar,Jun,Sept,Dec"
353,b,b,900.0,,,1,14,2013,"Feb,May,Aug,Nov"
354,d,c,1500.0,10,2005,0,,,None
355,a,c,9720.0,8,2013,0,,,None
356,d,c,8970.0,12,2007,1,22,2012,"Feb,May,Aug,Nov"
357,a,a,2060.0,10,2008,0,,,None
358,a,a,2890.0,10,2003,0,,,None
359,d,c,4370.0,,,0,,,None
360,a,a,2040.0,6,2007,0,,,None
361,c,c,4490.0,5,2014,1,5,2013,"Feb,May,Aug,Nov"
362,c,c,340.0,,,0,,,None
363,a,a,250.0,9,2009,0,,,None
364,a,c,13620.0,,,1,10,2014,"Mar,Jun,Sept,Dec"
365,c,a,2410.0,,,1,45,2009,"Feb,May,Aug,Nov"
366,d,c,6470.0,12,2004,0,,,None
367,d,c,2640.0,9,2012,0,,,None
368,d,c,1450.0,4,2005,1,45,2009,"Feb,May,Aug,Nov"
369,d,c,5870.0,4,2014,0,,,None
370,d,a,8250.0,10,2000,1,31,2009,"Jan,Apr,Jul,Oct"
371,d,c,1970.0,7,2009,1,45,2014,"Feb,May,Aug,Nov"
372,d,c,4880.0,8,2010,1,18,2014,"Jan,Apr,Jul,Oct"
373,d,c,11120.0,,,1,22,2012,"Jan,Apr,Jul,Oct"
374,a,a,1150.0,9,2007,0,,,None
375,a,c,15710.0,2,2013,1,37,2009,"Jan,Apr,Jul,Oct"
376,a,a,160.0,8,2012,0,,,None
377,a,c,100.0,6,2010,1,18,2010,"Feb,May,Aug,Nov"
378,a,c,2140.0,8,2012,0,,,None
379,d,a,6630.0,,,0,,,None
380,a,a,2240.0,5,2013,1,10,2014,"Mar,Jun,Sept,Dec"
381,a,a,1800.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
382,c,c,26130.0,11,2002,0,,,None
383,a,c,350.0,,,0,,,None
384,a,c,130.0,,,1,14,2011,"Jan,Apr,Jul,Oct"
385,d,a,4580.0,9,2007,0,,,None
386,d,c,1460.0,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
387,c,a,210.0,,,1,36,2013,"Mar,Jun,Sept,Dec"
388,a,a,2260.0,,,0,,,None
389,a,c,6690.0,8,2011,0,,,None
390,a,c,1600.0,4,2009,0,,,None
391,a,a,460.0,11,2014,1,31,2013,"Feb,May,Aug,Nov"
392,a,a,2120.0,,,0,,,None
393,d,c,4820.0,3,2008,0,,,None
394,d,a,10850.0,,,0,,,None
395,a,a,3620.0,2,2013,0,,,None
396,a,c,23130.0,,,0,,,None
397,a,c,130.0,,,1,27,2013,"Feb,May,Aug,Nov"
398,c,c,1540.0,,,1,1,2012,"Jan,Apr,Jul,Oct"
399,a,a,5360.0,9,2012,1,40,2011,"Jan,Apr,Jul,Oct"
400,a,a,70.0,11,2004,1,14,2011,"Jan,Apr,Jul,Oct"
401,a,c,9200.0,10,2009,1,14,2012,"Jan,Apr,Jul,Oct"
402,c,c,5830.0,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
403,a,a,4970.0,7,2015,0,,,None
404,a,c,1420.0,,,1,10,2013,"Mar,Jun,Sept,Dec"
405,a,a,1080.0,4,2008,1,14,2011,"Jan,Apr,Jul,Oct"
406,d,c,8240.0,3,2001,1,10,2013,"Feb,May,Aug,Nov"
407,a,a,5890.0,10,2003,1,14,2011,"Feb,May,Aug,Nov"
408,c,a,1560.0,,,1,45,2009,"Feb,May,Aug,Nov"
409,d,c,840.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
410,c,a,40.0,11,2011,1,22,2012,"Mar,Jun,Sept,Dec"
411,d,c,8460.0,,,0,,,None
412,d,c,4460.0,,,1,39,2010,"Jan,Apr,Jul,Oct"
413,a,c,760.0,9,2014,0,,,None
414,d,c,6210.0,,,1,1,2013,"Jan,Apr,Jul,Oct"
415,d,c,6910.0,4,2005,0,,,None
416,a,c,4650.0,6,2014,0,,,None
417,a,c,840.0,,,1,10,2014,"Jan,Apr,Jul,Oct"
418,a,a,1060.0,5,2009,1,27,2011,"Feb,May,Aug,Nov"
419,c,a,1620.0,9,2009,0,,,None
420,d,c,250.0,,,1,27,2012,"Jan,Apr,Jul,Oct"
421,c,c,3530.0,6,2012,1,35,2012,"Mar,Jun,Sept,Dec"
422,a,c,2880.0,,,0,,,None
423,b,a,1270.0,5,2014,0,,,None
424,d,c,1250.0,,,1,40,2011,"Jan,Apr,Jul,Oct"
425,d,c,1460.0,,,0,,,None
426,a,a,250.0,,,0,,,None
427,a,c,70.0,7,2005,1,13,2010,"Jan,Apr,Jul,Oct"
428,d,a,2960.0,12,2014,1,23,2015,"Mar,Jun,Sept,Dec"
429,d,c,16350.0,7,2005,1,31,2013,"Jan,Apr,Jul,Oct"
430,d,c,12870.0,10,2008,0,,,None
431,d,c,4520.0,,,0,,,None
432,a,a,810.0,5,2013,0,,,None
433,a,c,30030.0,11,2010,0,,,None
434,a,a,13020.0,8,2003,1,40,2014,"Jan,Apr,Jul,Oct"
435,a,a,910.0,,,0,,,None
436,d,a,2300.0,,,0,,,None
437,c,c,430.0,,,1,50,2010,"Jan,Apr,Jul,Oct"
438,d,c,1110.0,,,1,40,2012,"Jan,Apr,Jul,Oct"
439,a,a,1350.0,9,2009,0,,,None
440,d,a,3900.0,4,2005,1,45,2009,"Feb,May,Aug,Nov"
441,d,a,2530.0,,,0,,,None
442,c,a,500.0,,,1,45,2009,"Feb,May,Aug,Nov"
443,d,a,11400.0,12,2005,0,,,None
444,c,a,1700.0,11,2009,0,,,None
445,a,a,240.0,,,0,,,None
446,a,a,340.0,10,2000,1,31,2013,"Feb,May,Aug,Nov"
447,a,c,1510.0,9,2013,0,,,None
448,a,c,3970.0,9,2009,0,,,None
449,a,c,120.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
450,c,a,5780.0,11,1994,1,10,2014,"Mar,Jun,Sept,Dec"
451,a,a,2460.0,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
452,a,c,1850.0,8,2013,1,5,2011,"Feb,May,Aug,Nov"
453,a,c,75860.0,,,0,,,None
454,a,a,26450.0,,,0,,,None
455,d,c,7660.0,9,2010,0,,,None
456,a,c,140.0,,,0,,,None
